ID_CLB;INTITULE_COMPLET;VALEUR;ETAT;STATUT_RECRUTEMENT;DATE_DEBUT_INCLUSION;DATE_FIN_INCLUSION;DATE_DEBUT_ETUDE;DATE_FIN_ETUDE;ROLE_CLB;DETAIL_ROLE_CLB
ET20000003;"TAS120-301 FOENIX-CCA3 : Étude de phase III, randomisée et menée en ouvert, du futibatinib comparé à une chimiothérapie gemcitabine-cisplatine en traitement de première intention de patients atteints de cholangiocarcinome avancé et présentant des réarrangements du gène FGFR2 ";NCT04093362;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET20000009;"DF1001-001: Etude de Phase I/II, first-in-human, multi-parties, ouverte, d'escalade de dose pour évaluer la sécurité, la tolérance, les pharmacocinétiques, l'activité biologique et clinique du DF1001 chez des patients ayant une tumeur solide localement avancée ou métastatique, et en expansion dans des indications sélectionnées.   ";NCT04143711;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;N;
ET20000013;ISA101b-OPC-03-19: Étude de phase 2 sur le cemiplimab, un anticorps monoclonal anti-PD-1, et le vaccin ISA101b, chez des patients présentant un cancer de l’oropharynx (COP) HPV 16 positif récidivant/métastatique qui ont connu une progression de la maladie avec traitement antérieur anti-PD-1;NCT04398524;600;Terminée;2021-12-10 00:00:00.000;NULL;2021-12-10 00:00:00.000;NULL;O;
ET20000016;APHYPAP: Aprepitant versus Hydroxyzine en association avec les traitements cytoréducteurs pour les patients avec néoplasies myéloprolifératives souffrant d’un Prurit Aquagénique Persistant;NCT03808805;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000019;ORGANOTREAT-01: Etude prospective multicentrique évaluant la faisabilité d’un traitement orienté en fonction d’un chimiogramme personnalisé réalisé sur des organoïdes dérivés d’échantillons tumoraux de patients atteints d’un cancer digestif avancé en échec thérapeutique;NCT05267912;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000022;ABLE02: Étude nationale, multicentrique, randomisée, contrôlée, visant à évaluer l’efficacité d’un programme d’activité physique sur la qualité de vie et la fatigue chez des patientes atteintes d’un cancer du sein métastatique;NCT04354233;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000030;SC103 : Etude de Phase 1/1b multicentrique, ouverte pour évaluer la tolérance et l'efficacité préliminaire du SO-C101 seul ou en association avec le Pembrolizumab chez des patients présentant une tumeur solide sélectionnée, avancée ou métastatique.;NCT04234113;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000032;M19-345 :  Etude multicentrique de phase I de 1ère administration à l’Homme, d’escalade de dose en ouvert visant à déterminer la sécurité d’emploi, la tolérabilité, le profil pharmacocinétique et la DRP2 de l’ABBV-151 en monothérapie et en association avec l’ABBV-181 chez des patients atteints de tumeurs solides localement avancées ou métastatiques.;NCT03821935;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000034;"ENGOT-ov55/MIRASOL IMGN853  OZA81217 IMGN853-0416 : Étude de phase III randomisée, en ouvert, évaluant le mirvétuximab soravtansine par rapport à la chimiothérapie choisie par l’investigateur dans le cancer de l’ovaire épithélial de haut grade, le cancer du péritoine primitif ou le cancer des trompes de Fallope présentant une expression élevée des récepteurs alpha des folates ";NCT04209855;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000035;"Validation transculturelle des questionnaires TESS et MSTS ";03765970;010;En préparation;NULL;NULL;NULL;NULL;O;
ET20000036;DS1062-A-U202  TROPION-Lung05: Étude de phase II, monobras, en ouvert, du traitement par DS-1062a dans le cancer broncho-pulmonaire non à petites cellules avancé ou métastatique présentant des altérations génomiques actionnables ayant progressé sous ou après traitement par un inhibiteur de kinase et par chimiothérapie à base de platine (TROPION-Lung05);NCT04484142;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000037;U31402-A-U201 HERTHENA-Lung01: étude de phase II, randomisée, en ouvert, portant sur le patritumab-déruxtécan (U3-1402) chez des patients atteints d’un carcinome pulmonaire non à petites cellules (CPNPC) métastatique ou localement avancé présentant une mutation de l’EGFR, et ayant été préalablement traités;NCT04619004;420;Close aux inclusions;2021-08-02 00:00:00.000;NULL;2021-08-02 00:00:00.000;NULL;O;
ET20000049;GYNET: Etude de phase I / II randomisée, multicentrique, ouverte, évaluant la sécurité et l'activité clinique et biologique de NP137, anticorps monoclonal humanisé ciblant la Netrine-1, en association avec une chimiothérapie Carboplatine-Paclitaxel et / ou le pembrolizumab chez des patientes présentant un carcinome du col de l’utérus ou de l’endomètre localement avancé ou à un stade métastatique, progressant ou rechutant après au moins une chimiothérapie systémique antérieure.;NCT04652076;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000050;"MPN BIOCLOT: Evaluation de nouveaux biomarqueurs de thrombose dans les néoplasies myéloprolifératives ";04177576;600;Terminée;2020-09-30 00:00:00.000;2022-01-31 00:00:00.000;NULL;NULL;O;
ET20000055;BO41932 TAPISTRY: Étude de phase II, visant à évaluer l'efficacité et la tolérance de thérapies ciblées et d'une immunothérapie, pour des tumeurs agnostiques caractérisées par profilage génomique large;NCT04589845;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000063;"ESCALAD ACE-LY-312(D8227C00001): Etude de phase III, randomisée, en double aveugle, contrôlée contre placebo, évaluant l'acalabrutinib en association avec le rituximab, le cyclophosphamide, la doxorubicine, la vincristine et la prednisons (traitement R-CHOP) chez des patients =< 65 ans ";NCT04529772;420;Close aux inclusions;NULL;NULL;2021-08-02 00:00:00.000;NULL;O;
ET20000068;"BT-001.01: Etude clinique de phase I/IIa évaluant des administrations intra-tumorales (IT) répétées de BT-001 (TG6030) seul ou en combinaison avec le pembrolizumab chez des patients présentant des lésions tumorales cutanées ou sous-cutanées ou des ganglions lymphatiques facilement injectables de tumeurs solides avancées ou métastatiques.   ";NCT04725331;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000070;"POLAR: Une étude multicentrique, randomisée, ouverte, de phase III évaluant le palbociclib adjuvant en combinaison à un traitement hormonal versus un traitement hormonal seul pour des patient(e)s souffrant d’une récidive locorégionale isolée réséquée d’un cancer du sein, positive pour les récepteurs hormonaux / HER2-négative ";NCT03820830;400;Ouverte aux inclusions;NULL;NULL;2021-04-30 00:00:00.000;NULL;O;
ET20000071;"DS8201-A-U305 DESTINY-Breast05:  Etude de phase III, multicentrique, randomisée, en ouvert, contrôlée contre traitement actif, portant sur le trastuzumab deruxtecan (T-DXd) comparé au trastuzumab emtansine (T-DM1) chez des patients atteints d'un cancer du sein primaire HER2-positif à haut risque présentant une maladie invasive résiduelle au niveau du sein ou des ganglions lymphatiques axillaires après un traitement néoadjuvant ";NCT04622319;420;Close aux inclusions;2021-06-22 00:00:00.000;NULL;2020-11-01 00:00:00.000;2024-07-01 00:00:00.000;O;
ET20000073;D5330C00004 : Étude de phase I, en ouvert, multicentrique, modulaire, visant à évaluer la sécurité d'emploi, la tolérance, la pharmacocinétique et les premières données sur l'activité antitumorale de doses croissantes de ceralasertib (AZD6738) en association à une chimiothérapie et/ou à des agents modulant la réparation des lésions d'ADN/nouveaux agents anticancéreux chez des patients présentant des tumeurs malignes solides avancées;NCT02264678;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000076;"IMMUNONCOVID-20: Etude prospective, contrôlée, randomisée, multicentrique comparant l’efficacité d’un analogue de la chloroquine (GNS561), d’une immunothérapie par anti-PD1 (nivolumab) et d’un anti-interleukine-6R (tocilizumab) par rapport à la prise en charge standard chez des patients atteints de cancer avancé ou métastatique et présentant une infection au SARS-CoV-2 (COVID-19). ";NCT04333914;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000077;GETUG-StORM–01 : Etude de phase II évaluant la radiothérapie stéréotaxique comme stratégie thérapeutique du carcinome rénal avec métastases oligoprogressives;NCT04299646;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000088;SKYSCRAPER-O7 (YO42137) : Etude de phase III, randomisée, en double aveugle, contrôlée versus placebo, destinée à évaluer l’Atezolizumab avec ou sans Tiragolumab (anticorps anti-TIGIT) chez des patients atteints d’un carcinome épidermoïde de l’œsophage localement avancé non résécable _ IMCORE;NCT04543617;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000089;PembroSCCOHT: Etude de phase II, multicentrique, évaluant le pembrolizumab en combinaison avec une chimiothérapie à base d'étoposide-cisplatine (PAVEP) en première intention chez des patientes atteintes d'un carcinome ovarien à petites cellules avancé de type hypercalcémique;NCT04602377;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000090;MK3475-051 : Etude de phase I/II portant sur le Pembrolizumab (MK-3475) chez des enfants ayant soit une tumeur solide ou un lymphome avancé en rechute ou réfractaire PD-L1 positif, soit un mélanome avancé (KEYNOTE-051);NCT02332668;010;En préparation;NULL;NULL;NULL;NULL;O;
ET20000091;SUDOPED: Etude des performances diagnostiques de la mesure des conductances cutanées électrochimiques pour le diagnostic des neuropathies à petites fibres induites par les chimiothérapies chez l’enfant;NCT04262778;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000093;IMHOTEP - Immunothérapie en péri-opératoire dans les tumeurs MSI/dMMR Il s'agit d'une étude multicentrique, 4-cohorte, prospective, phase II;NCT04795661;410;Suspendue aux inclusions;NULL;NULL;2021-10-18 00:00:00.000;NULL;O;
ET20000097;"IO-001 : Étude chez l’homme de phase I/Ib de l’EOS100850 administré en monothérapie ou associé au pembrolizumab et/ou à une chimiothérapie chez des participants souffrant de cancers avancés. ";NCT03873883;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000104;"IFCT-1904 ENCO-BRAF : Etude de phase II évaluant l'inhibiteur de BRAF encorafenib en combinaison avec l'inhibiteur de MEK binimetinib chez des patients atteints d'un cancer non à petites cellules présentant une mutation BRAF V600E ";NCT04526782;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000114;SQUEEZE: Utilisation des vasopresseurs en postopératoire: étude observationnelle prospective.;NCT03805230;010;En préparation;NULL;NULL;NULL;NULL;O;
ET20000116;DS8201-A-U206 DESTINY LUNG 02  : Étude de phase 2, multicentrique et randomisée, visant à évaluer le trastuzumab deruxtecan chez des patients atteints de cancer du poumon non à petites cellules (CPNPC) métastatique avec mutation HER2;NCT04644237;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000125;"ONCOVID_AURA: Évaluation du risque excédentaire de morbi-mortalité lié au COVID-19 chez les patients atteints de cancer ";NCT04457570;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000129;"REALYSA: Etude épidémiologique en vie réelle et survie des lymphomes de l’adulte ";NCT03869619;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000139;PLANETTE (247947) :  Étude multimodule de phase 2a, multicentrique, en ouvert, pour évaluer des agents (ou des associations) ciblant la réponse aux dommages de l’ADN chez des patients atteints de cancer avancé dont les tumeurs contiennent des altérations moléculaires(D5339C00001);NCT04564027;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000144;"TAS-120-203 PXL 248790: Etude de phase 2 &#233;valuant le Futibatinib (TAS-120) et le Pembrolizumab dans le traitement du carcinome uroth&#233;lial avanc&#233; ou m&#233;tastatique. ";NCT04601857;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000145;"PASCA: Cohorte prospective monocentrique visant à décrire les complications liées au traitement, chez les adultes de 18 à 65 ans, répondeurs à un premier traitement en oncologie ou onco-hématologie. ";NCT04671693;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000147;PEACE-6/UNFIT  Vulnerable: Un essai de phase III randomisé en double aveugle évaluant l'efficacité de l'ADT +/- darolutamide chez les patients atteints d'un cancer de la prostate de novo métastatique vulnérables avec une capacité fonctionnelle amoindrie et non éligibles au docétaxel ou aux agents ciblant les récepteurs aux androgènes;NCT04916613;010;En préparation;NULL;NULL;NULL;NULL;O;
ET20000149;"BAY-73-4506   21136 :Etude de phase 2, en ouvert, multi indications, évaluant l’association Regorafenib et Nivolumab chez des patients atteints d’une tumeur solide récidivante ou métastatique ";NCT04704154;420;Close aux inclusions;2021-04-20 00:00:00.000;NULL;2021-04-20 00:00:00.000;NULL;O;
ET20000150;"VolATIL : Etude de phase II, évaluant l’intérêt d’associer le vaccin UCPVax et l’atezolizumab dans le traitement des cancers positifs au Papillomavirus Humain ";NCT03946358;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000151;Oncogramme®colorectal :  Impact de l’utilisation de l’Oncogramme®-colorectal pour orienter la 1ère ligne de chimiothérapie +/- thérapie ciblée anti-EGFR chez des patients atteints d’un cancer colorectal métastatique sur la survie sans progression et la qualité de vie par rapport à la prise en charge habituelle;NCT05299840;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000156;TG6002.03 : Escalade de dose et phase IIa de l’association du TG6002 et de la flucytosine chez des patients porteurs d’un cancer colorectal avec métastases hépatiques non résécables;NCT04194034;420;Close aux inclusions;NULL;NULL;2021-04-14 00:00:00.000;NULL;O;
ET20000158;"H3B-6545-A001-101: Phase I-II multicenter, open label trial of H3B-6545, a covalent antagonist of estrogen receptor alpha, in women with locally advanced or metastatic estrogen receptor-positive, HER2 negative breast cancer. ";NCT03250676;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET20000159;"D7980C00001: ext phase I réin méta 2 ou 3èL  _anticorps bi-spécifique PD1-CTLA4 (MEDI5752) Étude de Phase 1 d’escalade de doses et d’extension de dose en ouvert évaluant l’innocuité, la tolérance, la pharmacocinétique, l’immunogénicité et l’activité antitumorale de MEDI5752 chez des patients porteurs de tumeurs solides avancées ";NCT03530397;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000171;"BO42533 Skyscraper 09 :Etude de phase II, randomisée, en double aveugle, évaluant l’atezolizumab plus tiragolumab , et l’atezolizumab plus placebo en traitement de première ligne chez des patients PD-L1 positifs, présentant un carcinome épidermoïde de la tête et du cou récidivant/métastatique ";NCT04665843;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000180;"DS8201-A-U306 DESTINY-Gastric04: Étude de phase 3, multicentrique, à 2 bras, randomisée, en ouvert, portant sur le trastuzumab déruxtécan chez des patients atteints d’un adénocarcinome de l’estomac ou de la jonction gastro-œsophagienne (JGO) métastatique et/ou non résécable, HER2 positif, ayant progressé pendant ou après un schéma thérapeutique contenant du trastuzumab ";NCT04704934;400;Ouverte aux inclusions;2021-08-19 00:00:00.000;NULL;2021-08-19 00:00:00.000;NULL;O;
ET20000181;TRAK-ER: Essai randomisé sur la détection précoce d'une rechute moléculaire avec suivi de l’ADN tumoral circulant et traitement par le palbociclib plus fulvestrant par rapport à une hormonothérapie standard chez les patients présentant un cancer du sein ER+/HER2-»;NCT04985266;400;Ouverte aux inclusions;2023-02-01 00:00:00.000;NULL;2022-09-14 00:00:00.000;NULL;O;
ET20000183;NEUROBLU 02:Essai clinique de phase I évaluant la sécurité d’une radiothérapie interne vectorisée au 177Lu-DOTA0-Tyr3-Octréotate chez l’enfant atteint de neuroblastome réfractaire ou en rechute exprimant les récepteurs à la  somatostatine;NCT03966651;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000188;CJDQ443A12101C : Phase I/FIH: Phase Ib dose escalation of JDQ443 monotherapy, JDQ443 + TNO155 combination, JDQ443 + Spartalizumab combination and JDQ443 + TNO155 + Spartalizumab combination in KRAS G12C solid tumor patients, followed by dose expansion in KRAS G12C NSCLC in each of the treatment and dose expansion in KRAS G12C CRC in JDQ443 monotherapy and JDQ443 + TNO155 combination  Etude de phase Ib/II en ouvert, multicentrique, d’escalade de dose, évaluant le JDQ443 chez des patients atteints de tumeurs solides avancées présentant la mutation KRAS G12C;NCT04699188;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000189;MER-XMT-1536-1: Étude de phase Ib/II, de première utilisation chez l’humain, d’escalade de dose et d’extension portant sur le XMT-1536 chez des patients atteints de tumeurs solides susceptibles d’exprimer  le NaPi2b. _ gyneco uniquement;NCT04396340;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000193;RPL-001-16 IGNYTE: Étude multicentrique, ouverte de Phase I/II sur le RP1 en monothérapie et en association avec un inhibiteur de PD-1 chez des patients atteints d’une tumeur solide;NCT03767348;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000196;CAAA617B12302 PSMAfore: Etude de phase III, randomisée, en ouvert, multicentrique, évaluant le traitement par 177Lu-PSMA-617 versus une modification de traitement ciblant les récepteurs androgéniques chez des patients de sexe masculin atteints de cancer de la prostate métastatique progressif résistant à la castration et n'ayant pas reçu de traitement antérieur par des texanes;NCT04689828;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000198;IMD13213-I13213 IMMU-132-13 TROPICS 4 : Étude de phase III en ouvert, randomisée, évaluant le sacituzumab govitécan contre le traitement choisi par le médecin chez des patients atteints d'un cancer urothélial métastatique ou localement avancé et non résécable;" NCT04527991";420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000201;DCC-3014-03-001 MOTION :Étude de phase III, randomisée, contrôlée par placebo, en double aveugle pour évaluer l’efficacité et l’innocuité du Vimseltinib chez des patients atteints de tumeur ténosynoviale à cellules géantes (MOTION);NCT05059262;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000203;HOVON 150 (IDH1/2): Traitement par ivosidénib ou énasidénib en association avec une chimiothérapie pour les patients atteints de leucémie aiguë myéloïde (LAM) ou de syndrome myélodysplasique avec mutation IDH1 ou IDH2 non encore traités.;NCT03839771;400;Ouverte aux inclusions;2021-05-11 00:00:00.000;NULL;NULL;NULL;O;
ET20000204;"NANO-GBM: Etude de phase I/II testant l’association de nanoparticules AGuIX, à une radiochimiothérapie avec témozolomide concomitant chez des patients présentant un glioblastome nouvellement diagnostiqué ";NCT04881032;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000206;STEP: Etude de phase II évaluant la radiothérapie stéréotaxique hypofractionnée préopératoire des métastases cérébrales;NCT04503772;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000207;D7880C00001 : Étude de phase 1 en ouvert visant à évaluer la sécurité, la tolérance, la pharmacocinétique, la pharmacodynamique et l’efficacité préliminaire de MEDI9253, un virus recombinant de la maladie de Newcastle codant pour l’interleukine-12, en association avec le durvalumab chez des participants présentant certaines tumeurs solides avancées/métastatiques;NCT04613492;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET20000214;"OPTIMIZE-1 : A phase 1b/2, open-label, multi-center study assessing the clinical efficacy of Mitazalimab in combination with mFOLFIRINOX in unresectable and metastatic pancreatic cancer. ";NCT04888312;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000215;REPAIR_GETUG P16: Récidive en loge prostatique déjà irradiée : une étude phase I/II de réirradiation en conditions stéréotaxiques potentialisée par la Metformine;NCT04536805;400;Ouverte aux inclusions;2021-10-15 00:00:00.000;NULL;NULL;NULL;O;
ET20000216;ATARI: Etude de phase II évaluant l'association inhibiteur d'ATR et Olaparib en traitement d'une tumeur maligne gynécologique rare en progression ou en rechute,  présentant une perte d'ARid1A ou non;NCT04065269;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000217;PXL 253640 VS-6766-202: Étude de phase 2 évaluant le traitement par VS-6766 (double inhibiteur RAF/MEK) en monothérapie ou en association au défactinib (inhibiteur de FAK) dans le cancer bronchopulmonaire non à petites cellules (CBNPC) récidivant porteur de mutations KRAS (KRAS-MT) et BRAF (BRAF-MT) (RAMP 202);NCT04620330;600;Terminée;NULL;NULL;NULL;NULL;O;
ET20000218;Kystal 849-10: Étude randomisée de phase 3 évaluant le MRTX849 en association avec le cétuximab par rapport à la chimiothérapie chez des patients atteints d’un cancer colorectal avancé avec mutation KRAS G12C en progression pendant ou après un traitement de première ligne standard;NCT04793958;420;Close aux inclusions;NULL;NULL;2022-07-07 00:00:00.000;NULL;O;
ET20000219;"WO42633 ASTEFANIA 2.0 (anciennement KATHERINE): Etude de phase III, multicentrique, randomisée, en double aveugle, contrôlée par placebo, évaluant l'efficacité et la tolérance de l'atézolizumab ou du placebo en association au trastuzumab emtansine comme traitement adjuvant du cancer du sein HER2 positif à haut risque de récidive après un traitement néoadjuvant ";NCT04873362;420;Close aux inclusions;2021-06-15 00:00:00.000;NULL;2021-04-01 00:00:00.000;2024-12-31 00:00:00.000;O;
ET20000221;MORAb-202-G000-201: Essai de phase 1/2 multicentrique en ouvert évaluant l'innocuité, la tolérance et l'efficacité de MORAb-202, un anticorps-médicament conjugué ciblant le récepteur alpha (FR¦Á) du folate chez des patients présentant des tumeurs sélectionnés;NCT04300556;410;Suspendue aux inclusions;NULL;NULL;NULL;NULL;N;
ET20000226;CA224-083 : Etude de phase I/2a, évaluant la sécurité, la tolérance et l'efficacité du relatlimab administré en association avec ipilimumab ou ipilimumab seul chez des patients atteints d'un mélanome inopérable ou métastatique ayant progressé sous une thérapie anti-PD-1.;NCT03978611;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET20000227;CA209-67T : Essai de phase 3 de non-infériorité, en ouvert, randomisé, portant sur l’administration d’une formulation sous-cutanée du nivolumab, par rapport à une administration intraveineuse, mené auprès de patients atteints d’un carcinome rénal à cellules claires avancé ou métastatique ayant reçu un traitement systémique antérieur.;NCT04810078;900;Invalidée;NULL;NULL;NULL;NULL;O;
ET20000228;"I3Y-MC-JPCS: Étude de Phase 1b d’augmentation progressive de la dose portant sur l’abemaciclib en association avec le temozolomide et l’irinotecan (Partie A) et l’abemaciclib en association avec le temozolomide (Partie B) chez des patients pédiatriques et jeunes adultes atteints de tumeurs solides récidivantes/réfractaires. ";NCT04238819;600;Terminée;NULL;NULL;NULL;NULL;O;
ET20000229;SGN35-031 ECHELON3: Étude randomisée, en double aveugle, contrôlée par placebo, avec comparateur actif, multicentrique, de phase 3 portant sur le brentuximab védotine ou un placebo en association avec du lénalidomide et du rituximab chez des patients atteints d’un lymphome diffus à grandes cellules B (LDGCB) en rechute ou réfractaire.;4404283;010;En préparation;2022-06-16 00:00:00.000;NULL;NULL;NULL;O;
ET20000230;TEDOVA : Etude de phase II, randomisée, comparant un traitement de maintenance par le vaccin OSE2101 (TEDOPI®), composé de multiples néo-épitopes tumoraux, seul ou en association avec un anti PD1 (Pembrolizumab) par rapport au traitement standard chez des patientes présentant un cancer de l’ovaire en rechute sensible au platine;NCT04713514;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000233;SY-1425-301 SELECT-MDS-1: Étude de phase 3, randomisée, en double aveugle, contrôlée contre placebo, portant sur le SY-1425 plus azacitidine versus placebo plus azacitidine chez des patients adultes atteints d'un Syndrome Myélodysplasique de Haut Risque, nouvellement diagnostiqués et RARA positifs;NCT04797780;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000234;PERSEE - GFPC 01-2020: Essai randomisé, ouvert et contrôlé de phase III, comparant l’association pembrolizumab-chimiothérapie à base de sels de platine au pembrolizumab en monothérapie, en première ligne de traitement de cancers broncho-pulmonaires non à petites cellules (CBPNC) caractérisés par une expression de PD-L1 sur plus de 50% des cellules tumorales;NCT04547504;420;Close aux inclusions;2022-06-29 00:00:00.000;NULL;2022-06-29 00:00:00.000;NULL;O;
ET20000240;NEOVAB: Etude pilote prospective multicentrique évaluant la fiabilité de la macrobiopsie pour le diagnostic de réponse histologique complète chez les patients ayant une réponse clinique et radiologique complète après chimiothérapie néo adjuvante.;NCT03876951;400;Ouverte aux inclusions;2022-06-09 00:00:00.000;NULL;2022-01-20 00:00:00.000;NULL;O;
ET20000242;MEI-401-004 PXL 253387 COASTAL: Étude de phase 3, randomisée, en ouvert, contrôlée, multicentrique portant sur le zandélisib (ME-401) en association au rituximab par rapport à l’immunochimiothérapie standard chez des patients atteints d’un lymphome non hodgkinien indolent (LNHi) en rechute;NCT04745832;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000244;IFM2020-05 BENEFIT: Etude de phase III, en ouvert, randomisée, de l'association Isatuxmab, Lenalidomide et Dexaméthasone avec ou sans Bortézomib chez les sujets âgés de 65 à 79 ans présentant un myélome multiple nouvellement diagnostiqué, non éligible à l’autogreffe et non fragiles;NCT04751877;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000246;MIRAS : Multimodal Immune characterization of RAre soft tissue Sarcoma ? » (PRT-K 2018);NCT04342546;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000247;"IFCT-2003 ALBATROS: Étude de phase II mono-bras, multicentrique évaluant l’efficacité et la tolérance du lorlatinib en monothérapie après échec en 1ère ligne de traitement d’un inhibiteur de tyrosine kinase chez des patients présentant un cancer bronchique non à petites cellules (CBNPC) de stade avancé ROS1-positif ";NCT04621188;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000250;DS1062-A-U301: Étude randomisée de phase III du traitement par DS-1062a versus docétaxel dans le cancer du poumon non à petites cellules avancé ou métastatique précédemment traité et sans altération génomique actionnable(TROPION-LUNG01);NCT04656652;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000251;DS3201-A-U202 254381 VALENTINE : phase 2 internationale, multicentrique, ouverte, à un seul bras, conçue pour évaluer l’efficacité et l'innocuité du valémétostat tosylate en monothérapie pour les patients atteints de lymphome périphérique à cellules T récidivant / réfractaire (R / R PTCL) et de leucémie à cellules T adulte R / R / lymphome (ATL);NCT04703192;420;Close aux inclusions;2022-01-06 00:00:00.000;2022-09-01 00:00:00.000;NULL;NULL;O;
ET20000255;CABL001A2302 ASC4OPT : Etude de phase IIIb, multicentrique, en ouvert, évaluant l’optimisation du traitement par asciminib (ABL001) par voie orale chez des patients atteints de leucémie myéloïde chronique en phase chronique (LMC-PC) précédemment traités par au moins 2 inhibiteurs de tyrosine kinase;NCT04948333;420;Close aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000258;TRacKING: Registre Européen en vie réelle des patients ayant un cancer solide porteur de fusions NTRK ou autres fusions actionnables rares.;NCT04921553;400;Ouverte aux inclusions;2021-06-22 00:00:00.000;NULL;2021-06-22 00:00:00.000;NULL;O;
ET20000263;MK3475-B49 : Une étude de phase 3, randomisée, en double aveugle, contrôlée par placebo, évaluant Pembrolizumab plus chimiothérapie versus placebo plus chimiothérapie pour le traitement des patients candidats à la chimiothérapie ayant un cancer du sein positif pour les récepteurs hormonaux et négatif au récepteur du facteur de croissance épidermique humain 2 (HR + / HER2-) localement récidivant, inopérable ou métastatique;NCT04895358;420;Close aux inclusions;2022-04-07 00:00:00.000;NULL;2022-01-01 00:00:00.000;2024-03-31 00:00:00.000;O;
ET20000264;"Sleep-4-all-2.0 : Optimisation d’un dispositif thérapeutique séquentiel en ligne de type cognitivo-comportemental pour les patients atteints de cancer souffrant d’insomnie - Étude prospective en vie réelle ";NCT03981666;400;Ouverte aux inclusions;NULL;NULL;NULL;NULL;O;
ET20000267;J2G-MC-JZJX LIBRETTO 432: Étude de Phase 3 randomisée, en double aveugle, contrôlée versus placebo visant à évaluer l’administration d’un traitement adjuvant par selpercatinib après un traitement locorégional définitif chez des patients atteints d’un NSCLC positif pour la fusion de RET de stade IB-IIIA;NCT04819100;010;En préparation;NULL;NULL;NULL;NULL;O;
ET20000268;"CLXH254X2102 :  Etude en ouvert, multicentrique de phase Ib évaluant des associations de traitement avec le LXH254, par voie orale chez des patients adultes atteints d’un cancer bronchique non à petites cellules muté KRAS ou BRAF, ou d’un mélanome muté NRAS, de stade avancé ou métastasique ";NCT02974725;600;Terminée;NULL;NULL;NULL;NULL;O;
